X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
45.28, -0.30, 4111.43,, 814.24, 355.22, 0.0119, 0.5809, 0.0113, 0.6008
44.79, 0.23, 4099.18,, 812.91, 357.09, 0.0117, 0.5798, 0.0117, 0.5775
44.28, 1.03, 4100.86,, 810.96, 359.88, 0.0117, 0.5593, 0.0115, 0.5659
44.52, 5.95, 4046.33,, 814.09, 377.34, 0.0115, 0.5771, 0.0117, 0.5659
43.88, 7.44, 4035.12,, 812.14, 382.69, 0.0117, 0.5578, 0.0115, 0.5659
42.63, 14.28, 3990.72,, 809.18, 407.55, 0.0123, 0.5487, 0.0121, 0.5542
42.26, 17.71, 3964.76,, 808.80, 420.30, 0.0126, 0.5565, 0.0123, 0.5659
42.08, 18.79, 3948.35,, 808.77, 424.47, 0.0128, 0.5493, 0.0123, 0.5659
40.51, 23.13, 3926.82,, 803.51, 440.71, 0.0129, 0.5470, 0.0123, 0.5659
38.40, 28.53, 3883.08,, 796.94, 461.59, 0.0122, 0.5594, 0.0123, 0.5542
36.24, 33.19, 3851.61,, 789.56, 479.77, 0.0117, 0.5716, 0.0115, 0.5775
33.57, 37.59, 3820.16,, 780.00, 497.30, 0.0116, 0.5760, 0.0115, 0.5775
31.08, 37.37, 3832.57,, 769.57, 496.04, 0.0116, 0.5764, 0.0115, 0.5775
13.60, 35.60, 3851.80,, 699.05, 488.73, 0.0116, 0.5784, 0.0113, 0.5892
10.80, 35.08, 3856.55,, 687.80, 486.66, 0.0115, 0.5893, 0.0115, 0.5892
-0.71, 33.49, 3865.57,, 641.89, 480.46, 0.0117, 0.5825, 0.0111, 0.6008
-4.76, 33.14, 3875.58,, 625.80, 478.83, 0.0112, 0.5903, 0.0109, 0.6008
-10.76, 32.52, 3866.19,, 601.83, 476.84, 0.0111, 0.5974, 0.0109, 0.6008
-10.93, 32.56, 3875.79,, 601.28, 476.67, 0.0111, 0.5950, 0.0109, 0.6008
-28.79, 30.94, 3827.92,, 528.91, 472.10, 0.0110, 0.5977, 0.0109, 0.6008
-49.69, 29.87, 3804.86,, 443.62, 468.79, 0.0109, 0.6097, 0.0111, 0.6008
-59.00, 29.80, 3821.82,, 407.00, 468.04, 0.0122, 0.5769, 0.0121, 0.5775
-53.90, 24.95, 3890.07,, 431.38, 448.22, 0.0116, 0.5956, 0.0117, 0.5892
-44.49, 16.13, 3976.68,, 472.45, 414.41, 0.0115, 0.5806, 0.0113, 0.5892
-43.98, 14.79, 3991.32,, 475.06, 409.40, 0.0113, 0.5922, 0.0111, 0.6008
-39.44, 7.45, 4059.58,, 495.11, 382.57, 0.0114, 0.5738, 0.0109, 0.5892
-35.46, 3.62, 4084.26,, 511.03, 368.96, 0.0113, 0.5901, 0.0113, 0.5892
-34.01, 5.45, 4066.57,, 515.92, 375.47, 0.0110, 0.5757, 0.0109, 0.5775
-30.22, 11.80, 4025.93,, 529.13, 398.29, 0.0112, 0.5772, 0.0109, 0.5892
-29.79, 15.69, 3993.21,, 529.84, 412.57, 0.0111, 0.5894, 0.0111, 0.5892
-29.60, 19.85, 3960.08,, 529.64, 428.10, 0.0112, 0.5806, 0.0109, 0.5892
nan, nan, nan,, nan, nan, 0.0110, 0.5875, 0.0109, 0.5892
-28.54, 27.15, 3906.51,, 532.23, 455.88, 0.0112, 0.5813, 0.0109, 0.5892
-28.72, 26.76, 3906.47,, 531.52, 454.45, 0.0112, 0.5883, 0.0111, 0.5892
-57.51, 35.12, 3780.42,, 410.48, 489.43, 0.0116, 0.5633, 0.0115, 0.5659
-57.58, 35.19, 3779.81,, 410.14, 489.70, 0.0118, 0.5535, 0.0117, 0.5542
-57.41, 35.13, 3776.78,, 410.67, 489.60, 0.0119, 0.5517, 0.0115, 0.5659
-57.58, 35.13, 3782.31,, 410.30, 489.40, 0.0117, 0.5558, 0.0115, 0.5659
-57.57, 35.12, 3782.59,, 410.36, 489.34, 0.0115, 0.5668, 0.0115, 0.5659
-57.56, 35.14, 3780.67,, 410.30, 489.47, 0.0116, 0.5632, 0.0115, 0.5659
-57.48, 35.12, 3778.23,, 410.49, 489.49, 0.0117, 0.5603, 0.0115, 0.5659
-57.55, 35.12, 3781.57,, 410.41, 489.39, 0.0117, 0.5622, 0.0115, 0.5659
-57.48, 35.15, 3778.10,, 410.46, 489.59, 0.0117, 0.5600, 0.0115, 0.5659
-57.43, 35.12, 3777.93,, 410.66, 489.51, 0.0116, 0.5620, 0.0115, 0.5659
19.96, 3.38, 4096.83,, 719.71, 368.10, 0.0136, 0.5141, 0.0131, 0.5309
19.95, 5.94, 4076.47,, 720.03, 377.15, 0.0136, 0.5124, 0.0131, 0.5309
20.59, 13.32, 4018.28,, 723.59, 403.79, 0.0160, 0.4665, 0.0155, 0.4843
20.97, 17.32, 3986.85,, 725.67, 418.53, 0.0184, 0.4482, 0.0177, 0.4727
21.07, 20.95, 3961.60,, 726.56, 432.07, 0.0184, 0.4395, 0.0175, 0.4727
21.17, 23.61, 3938.87,, 727.44, 442.19, 0.0161, 0.4781, 0.0155, 0.4960
21.46, 26.74, 3911.40,, 729.15, 454.25, 0.0148, 0.4950, 0.0141, 0.5193
21.91, 27.08, 3917.35,, 730.80, 455.36, 0.0139, 0.5197, 0.0133, 0.5426
21.95, 26.93, 3913.91,, 731.06, 454.88, 0.0137, 0.5198, 0.0133, 0.5309
22.05, 26.82, 3918.47,, 731.33, 454.39, 0.0138, 0.5150, 0.0133, 0.5309
22.88, 25.16, 3929.34,, 734.34, 448.02, 0.0141, 0.5010, 0.0133, 0.5309
24.59, 21.01, 3956.75,, 740.36, 432.38, 0.0148, 0.4893, 0.0143, 0.5076
25.69, 18.27, 3978.83,, 744.12, 422.10, 0.0167, 0.4674, 0.0161, 0.4843
26.92, 15.06, 4003.82,, 748.21, 410.20, 0.0188, 0.4423, 0.0179, 0.4727
28.08, 11.92, 4024.52,, 752.13, 398.74, 0.0194, 0.4318, 0.0185, 0.4610
28.77, 9.72, 4043.03,, 754.27, 390.73, 0.0185, 0.4471, 0.0177, 0.4727
29.93, 5.03, 4080.96,, 757.62, 373.94, 0.0181, 0.4413, 0.0169, 0.4843
30.08, 1.04, 4104.97,, 757.52, 359.91, 0.0145, 0.5180, 0.0141, 0.5309
26.28, -3.35, 4150.13,, 742.20, 344.71, 0.0131, 0.5312, 0.0125, 0.5542
24.08, -3.15, 4146.14,, 734.12, 345.40, 0.0120, 0.5522, 0.0117, 0.5659
10.46, -2.45, 4148.94,, 683.53, 347.82, 0.0122, 0.5577, 0.0119, 0.5659
8.31, -1.96, 4148.24,, 675.55, 349.49, 0.0119, 0.5696, 0.0117, 0.5775
nan, nan, nan,, nan, nan, 0.0114, 0.5907, 0.0117, 0.5775
nan, nan, nan,, nan, nan, 0.0120, 0.5611, 0.0115, 0.5775
7.00, 10.84, 4048.47,, 671.30, 394.66, 0.0123, 0.5480, 0.0117, 0.5659
6.39, 13.75, 4017.64,, 669.20, 405.31, 0.0124, 0.5358, 0.0119, 0.5542
5.58, 17.46, 3980.24,, 666.28, 419.16, 0.0126, 0.5025, 0.0121, 0.5193
4.62, 21.82, 3949.36,, 662.72, 435.46, 0.0117, 0.5618, 0.0119, 0.5542
3.75, 23.18, 3949.30,, 659.33, 440.41, 0.0116, 0.5631, 0.0115, 0.5659
-4.63, 22.80, 3955.37,, 626.67, 438.89, 0.0115, 0.5637, 0.0111, 0.5775
-5.13, 20.07, 3971.05,, 624.82, 428.72, 0.0115, 0.5741, 0.0111, 0.5892
-5.03, 16.62, 3998.16,, 625.35, 415.84, 0.0117, 0.5752, 0.0113, 0.5892
-4.32, 11.32, 4043.83,, 628.23, 396.41, 0.0110, 0.5974, 0.0109, 0.6008
-3.53, 5.54, 4087.43,, 631.39, 375.71, 0.0113, 0.5737, 0.0111, 0.5775
-3.05, -0.56, 4140.22,, 633.36, 354.35, 0.0110, 0.5891, 0.0113, 0.5775
-6.59, -1.63, 4148.01,, 620.23, 350.66, 0.0112, 0.5917, 0.0113, 0.5892
-12.17, -1.28, 4142.35,, 599.47, 351.85, 0.0111, 0.5943, 0.0109, 0.6008
-13.19, 1.17, 4116.24,, 595.37, 360.36, 0.0109, 0.6026, 0.0113, 0.5892
-15.60, 6.23, 4074.72,, 585.74, 378.18, 0.0112, 0.5840, 0.0113, 0.5775
-16.39, 10.41, 4031.43,, 582.11, 393.29, 0.0112, 0.5772, 0.0109, 0.5892
-16.76, 15.49, 3997.83,, 580.15, 411.81, 0.0111, 0.5701, 0.0109, 0.5775
-17.14, 20.76, 3947.98,, 577.86, 431.65, 0.0110, 0.5828, 0.0111, 0.5775
-17.44, 25.72, 3904.80,, 575.93, 450.68, 0.0110, 0.5734, 0.0109, 0.5775
-18.62, 30.51, 3867.68,, 570.57, 469.34, 0.0106, 0.5948, 0.0107, 0.5892
-26.39, 27.48, 3895.93,, 540.41, 457.36, 0.0108, 0.5842, 0.0107, 0.5892
-26.64, 19.17, 3968.14,, 541.35, 425.50, 0.0109, 0.5877, 0.0109, 0.5892
-24.68, 10.19, 4035.16,, 550.54, 392.48, 0.0114, 0.5697, 0.0111, 0.5775
-24.05, 3.81, 4095.91,, 554.30, 369.60, 0.0107, 0.5938, 0.0109, 0.5892
-31.48, -1.74, 4109.10,, 526.74, 350.20, 0.0109, 0.5817, 0.0107, 0.5892
-33.51, 0.92, 4092.44,, 518.65, 359.49, 0.0110, 0.5904, 0.0113, 0.5775
-35.88, 6.50, 4041.35,, 508.02, 379.32, 0.0113, 0.5655, 0.0109, 0.5775
-39.90, 20.49, 3912.43,, 487.70, 431.34, 0.0109, 0.5662, 0.0109, 0.5659
-39.61, 28.27, 3861.86,, 486.80, 461.19, 0.0110, 0.5628, 0.0109, 0.5659
-37.54, 36.14, 3793.30,, 492.34, 492.82, 0.0113, 0.5647, 0.0109, 0.5775
-34.38, 43.41, 3744.44,, 503.36, 522.42, 0.0114, 0.5693, 0.0111, 0.5775
-27.07, 46.51, 3722.28,, 532.72, 535.36, 0.0130, 0.5368, 0.0125, 0.5542
-18.53, 47.94, 3736.03,, 568.33, 540.18, 0.0133, 0.5330, 0.0131, 0.5426
-7.01, 48.12, 3737.59,, 615.81, 540.80, 0.0150, 0.4839, 0.0143, 0.5076
4.98, 48.15, 3743.96,, 665.18, 540.57, 0.0137, 0.5530, 0.0073, 0.1582
20.86, 48.16, 3721.09,, 731.01, 541.76, 0.0164, 0.4762, 0.0159, 0.4960
31.08, 48.55, 3701.49,, 773.97, 544.27, 0.0180, 0.4539, 0.0175, 0.4727
